标识,中文,英文,原始翻译,比较
aPPShouYe13,app-首页-游戏运营-真人-日间模式,App - Home - Game operation - Live game - Day mode,app-home-game-operate-live-action-day mode,0
pCShouYeLun,pc-首页-轮播图,PC - Home - Carousel images,pc-home-rotation-image,0
yuJiaZai,预加载,Preload,Preload,1
benDi,本地,Local,local,1
aPPDaiLi,app代理端,App agent end,app agent side,0
aPPTiYu,app体育端,App sports end,appSports end,0
aPPYuLe,app娱乐端,App entertainment end,appEntertainment side,0
tanChuWenBen,弹出文本,Pop-up text,Pop-up text,1
tiaoZhuanSaiShi,跳转赛事,Redirection match,Jump to events,0
tiaoZhuanYeMian,跳转页面,Redirection page,Jump to page,0
yuJiaZaiTuPian,预加载图片,Preload image,Pre-loaded images,0
benDiShangChuan,本地上传,Upload from local device,Local upload,0
bianJi,编辑,Edit,Edit,1
queRenShouKuan,确认收款,Confirm receipt,Confirm Receipt,1
queRenFuKuan,确认付款,Confirm payment,Confirm Payment,1
tiXianDingDanQu,提现订单取消,Cancel withdrawal order,Withdrawal Order Cancellation,0
chongZhiDingDanQu,充值订单取消,Cancel top-up order,Charge order cancellation,0
tiXianDingDanChuang,提现订单创建,Create withdrawal order,Withdrawal order creation,0
cuoHeChengGong,撮合成功,Matched,Summary success,0
cuoHeSuoDingJie,撮合锁定解除,Match unlocked,Summary lock release,0
cuoHeSuoDing,撮合锁定,Lock match,Summary lock,0
daEChongZhi,大额充值,Large amount top-up,Large top-up,0
puTongChongZhi,普通充值,Ordinary top-up,Normal top-up,0
zhiFuChengGong,支付成功,Paid,Payment successful,0
daiZhiFu,待支付,Pending payment,Pending payment,1
yunShanFuZhuanZhang,云闪付转账,UnionPay transfer,Cloudflare transfer,0
chaoShiWeiQueRen,超时未确认到帐,Failed to confirm receipt within the specified time,Timeout not confirmed,0
daiQueRenDaoZhang,待确认到帐,Pending receipt confirmation,Pending confirmation,0
chaoShiCheXiao,超时撤销,Canceled due to timeout,Timeout Revocation,0
yongHuCheXiao,用户撤销,Cancel by user,User cancellation,0
buDanShenHeZhong,补单审核中,Additional order under review,Replacement order under review,0
renGongJuJueBu,人工拒绝补单,Reject additional order manually,Manual Rejection,0
buDanShenHeJu,补单审核拒绝,Additional order rejected,Rejected,0
buDanShenHeCheng,补单审核成功,Additional order approved,Successful replacement,0
jiSuZhuanKa,极速转卡,Express card transfer,Speedy Card Transfer,0
daiKeChongZhi,代客充值,Intermediary top-up,Discretionary Deposit,0
chuLiShiJian,处理时间,Handling time,Processing Time,0
zhuanZhangShiJian,转账时间,Transfer time,Transfer Time,1
gengXinShiJian,更新时间,Update time,Update Time,1
zhuanZhangShiBai,转账失败,Transfer failed.,Transfer failed,0
zhuanZhangChengGong,转账成功,Transferred,Successful transfer,0
daiChuLi,待处理,To be handled,Pending processing,0
guanFangChouYongI,官方抽佣（IOS/ANDROID/H5）,Commission taken by the platform (IOS/ANDROID/H5),Official Commission Draw (IOS/ANDROID/H5),0
geRenZhongXin,个人中心,Personal center,Personal Center,1
touZhuJiLuYe,投注记录页,Bet history page,Betting history page,0
zhuanZhangYe,转账页,Transfer page,Transfer Page,1
ruKou,入口,Entry,Entrance,0
youXiPingTaiShang,游戏平台商logo,Game platform merchant logo,Game platformer logo,0
shouYeRuKou,首页入口,Home entry,Home entrance,0
zhuanZhangQianBaoRu,转账钱包入口,Transfer wallet portal,Transfer wallet entrance,0
tuiJianWei,推荐位,Recommended position,Recommendation position,0
daoHangLan,导航栏,Navigation bar,Navigation bar,1
dianZi,电子,Electronic,Electronic,1
wuJiaoBiao,无角标,No marker,No corner marker,0
tuiJian,推荐,Recommend,Recommend,1
xinShangXian,新上线,New,New Online,0
jingQingQiDai,敬请期待...,Coming soon...,Please look forward to...,0
chanPinDuanWeiHu,产品端维护,Product side maintenance,Product Maintenance,0
jieJiYouXi,街机游戏,Arcade games,Arcade Games,1
qiPaiYouXi,棋牌游戏,Table games,Board Games,0
guaGuaLe,刮刮乐,Scratch-off,Scratch and Win,0
jingDianLaoHuJi,经典老虎机,Classic slot,Classic Slot Machines,0
dianDongLaoHuJi,电动老虎机,Electronic slot,Electric Slot Machines,0
buXianGou,不限购,Unlimited purchase,No purchase limit,0
zhongShenXianGou,终身限购,Lifetime purchase limit,Lifetime limit,0
meiYueXianGou,每月限购,Monthly purchase limit,Monthly Limit,0
meiZhouXianGou,每周限购,Weekly purchase limit,Weekly Limit,0
meiRiXianGou,每日限购,Daily purchase limit,Daily Limit,0
yiShenWeiShenHe,一审未审核,Pending first review,First Review Not Reviewed,0
juJueChuKuan,拒绝出款,Payout rejected,Refusal to pay out,0
daiLiTiXian,代理提现,Agent withdrawal,Agent Withdrawal,1
puTongTiXian,普通提现,Ordinary withdrawal,Regular withdrawals,0
yiChuLi,已处理,Processed,Processed,1
renGongChuKuan,人工出款,Manual payout,Manual withdrawal,0
chuKuanShiJian,出款时间,Payout time,Withdrawal time,0
tiXianShiJian,提现时间,Withdrawal time,Withdrawal time,1
keHuDuanWeiDeng,客户端未登录,Not logged in to the client,Client not logged in,0
weiChongZhiHaoYou,未充值好友,Friends without top-up,Not topped up friends,0
huoDongHaoYou,活动好友,Active friends,Active Friends,1
puTongHaoYou,普通好友,Ordinary friends,Ordinary Friends,1
sheBeiHao,设备号,Device number,Device number,1
zhangHao,账号,Account,Account number,0
yiShiBai,已失败,Failed,Failed,1
yiChengGong,已成功,Successful,Succeeded,0
xiaZaiZhong,下载中,Downloading,Download in progress,0
shouGongTiaoZheng,手工调整,Manual adjustment,Manual adjustment,1
xiTongZiDong,系统自动,Automatic,System automatic,0
tuiLiuJieShu,推流结束,End of push,End of push flow,0
tuiLiuKaiShi,推流开始,Start of push,Push flow starts,0
cheHui,撤回,Withdraw,Withdraw,1
jieShuZhiBo,结束直播,End the live streaming,End of live stream,0
qingChuPingMu,清除屏幕,Clear the screen,Clear screen,0
tuiDan,推单,Suggestion,push list,0
faHongBao,发红包,Send red packet,Release Red Envelope,0
jiSuTiYu,极速体育,FB Sports,Extreme Sports,0
bITTiYu,BIT体育,BIT sports,BIT Sports,1
xiaoJinTiYu,小金体育,188bet,Little Gold Sports,0
zhiBoJieShu,直播结束,Live ends,End of Live Streaming,0
zhengZaiZhiBoZhong,正在直播中,Live streaming,Live streaming in progress,0
weiKaiShiZhiBo,未开始直播,Live streaming not started,Live broadcast has not started,0
quanLiangYongHu,全量用户,All users,Full amount of users,0
zhiDingYongHu,指定用户,Specified users,Designated users,0
daiLiAPP,代理app,Agent app,Agent app,1
huiYuanAPP,会员app,Member app,Member app,1
quDaoBao,渠道包,Channel package,Channel Pack,0
guanWangBao,官网包,Official website package,Official Website Package,1
danBiTouZhu,单笔投注,Single bet,Single Bet,1
chaiDanTouZhu,拆单投注,Split bet,Split bets,0
tiXian,提现,Withdrawal,Withdrawal,1
chongZhiShiBai,充值失败,Top-up failed.,Failed to recharge,0
chongZhiChengGong,充值成功,Top-up successful,Successful recharge,0
zhiXingWanBi,执行完毕,Executed,Execution completed,0
zhengChangYunXing,正常运行,Normal operation,Normal operation,1
zanTing,暂停,Timeout,Suspend,0
guanWangYuMing,官网域名,Official website domain name,Official domain name,0
daiLiZhuanShuYu,代理专属域名,Agent exclusive domain name,Proxy exclusive domain name,0
xiaZai,下载,Download,Download,1
gengXin,更新,Update,Update,1
quanBuYongHu,全部用户,All users,All Users,1
tianJiaYongHuZu,添加用户组,Add user group,Add user group,1
xinTiYuHYu,新体育H5域名,New sports H5 domain name,New sports H5 domain name,1
wEBJiSu,web极速体育域名,Web speedy sports domain name,web Extreme Sports Domain,0
xiaZaiZhuanShuKe,下载专属客服app,Download exclusive customer service app,Download Exclusive Customer Service App,1
aPPSE,APPSEO客服次線路IP,APPSEO customer service secondary line IP,APPSEO Customer Service Secondary IP,0
aPPSE2,APPSEO客服主線路IP,APPSEO customer service main line IP,APPSEO customer service mainline IP,0
sEOKeFu,SEO客服次線路IP,SEO customer service secondary line IP,SEO Customer Service Sub-Line IP,0
sEOKeFu2,SEO客服主線路IP,SEO customer service main line IP,SEO customer service main line IP,1
aPPJiSu,APP极速体育域名,App speedy sports domain name,APP Extreme Sports Domain,0
aPPXiaZai,APP下载代理域名,App download agent domain name,APP download proxy domain name,0
pXDDYu,pxdd域名配置,PXDD domain name configuration,pxdd domain name configuration,1
tiYuSSA,体育ssapi域名,Sports ssapi domain name,Sports ssapi domain name,1
aPPKeFu,app客服次线ip,App customer service secondary line IP,app customer service secondary line ip,1
aPPKeFu2,app客服主线ip,App customer service main line IP,app customer service primary line ip,0
keFuCiXianLu,客服次线路ip,Customer service secondary line IP,customer service secondary line ip,1
keFuZhuXianLu,客服主线路ip,Customer service main line IP,customer service main line ip,1
daiLiYuMing,代理域名,Agent domain name,proxy domain name,0
ziXunYuMing,资讯域名,Information domain name,Information domain name,1
lIVEC,livechat客服系统ip地址,Livechat customer service system IP,livechat customer service system ip address,0
zhiChiKeFuXi,智齿客服系统ip地址,Sobot customer service system IP,wisdom tooth customer service system ip address,0
huoQuSaiGuoYu,获取赛果域名,Result getting domain name,get race result domain name,0
liaoTianShiJuBao,聊天室举报域名,Chat room report domain name,chatroom report domain name,0
liaoTianShiYuMing,聊天室域名,Chat room domain name,Chat room domain name,1
qiuDuiTuBiaoYu,球队图标域名,Team icon domain name,Team icon domain name,1
tiYuHYuMing,体育H5域名,Sports H5 domain name,Sports H5 domains,0
pUSHYu,push域名,Push domain name,push domain name,1
aPPXiaZai2,app下载域名,App download domain name,app download domain name,1
shouJiYuMing,手机域名,Phone domain name,Mobile Domains,0
pCYuMing,PC域名,PC domain name,PC domain name,1
sTKeFuS,ST客服SDK,ST customer service SDK,ST Customer Service SDK,1
sTKeFu,ST客服,ST customer service,ST Customer Service,1
lIVEC2,livechat客服,Livechat customer service,livechat customer service,1
zhiChiKeFu,智齿客服,Sobot customer service,Wisdom Tooth Customer Service,0
zhiChiKeFuXi2,智齿客服系统,Sobot customer service system,Livechat Customer Service System,0
lIVEC3,livechat客服系统,Livechat customer service system,livechat customer service system,1
jiuXu,就绪,Ready,ready,1
daiJiaZai,待加载,To be loaded,To be loaded,1
yuanShengLeiXing,原生类型,Native type,Native type,1
jianDanLeiXing,简单类型,Simple type,Simple type,1
anShiJianFanWei,按时间范围删,Delete by time frame,Delete by time range,0
anDanHaoShan,按单号删,Delete by order No.,Delete by single number,0
zhiXingZhong,执行中,Executing,Execution in progress,0
zhiXingShiBai,执行失败,Execution failed,Execution Failed,1
zhiXingChengGong,执行成功,Executed,Execution successful,0
daiZhiXing,待执行,To be executed,Pending,0
yiChang,异常,Error,Exception,0
dTDianZi,DT电子,DT Electronics,DT Electronic,0
iMTiYu,IM体育,IM Sports,IM Sports,1
bGZhenRen,BG真人,BG Live Game,BG Live,0
bTTiYu,BT体育,BT Sports,BT Sports,1
bBCaiPiao,BB彩票,BB Lottery,BB Lottery,1
fanYaDianJing,泛亚电竞,AVIA Gaming,Pan-Asian Gaming,0
mWBuYu,MW捕鱼,MW Fishing,MW Fishing,1
iMDianJing,IM电竞,IM E-Gaming,IM Gaming,0
pPDianZi,PP电子,PP Electronics,PP Electronic,0
beiBoQiPai,贝博棋牌,Beibo Card Game,Bebe Chess,0
huanLeQiPai,欢乐棋牌,Happy Card Game,Joy Chess,0
lBCaiPiao,LB彩票,LB Lottery,LB Lottery,1
bBTiYu,BX体育,BX Sports,BB Sports,0
pTDianZi,PT电子,PT Electronics,PT Electronics,1
eBETZhen,eBET真人,eBET Live Game,eBET Live,0
aGYouXi,AG游戏,AG Game,AG Games,0
youXiYuEDa,游戏余额大于0的用户,Users whose game balance is greater than 0,Users with game balance greater than 0,0
iMDianJingSai,IM电竞赛事结算,IM E-Gaming match settlement,IM e-sports settlement,0
liuHeCai,六合彩,Mark six,Mark Six,1
feiLiuHeCai,非六合彩,Non-mark six,Non-Lottery,0
paiCaiShiJian,派彩时间,Payout time,Payout time,1
touZhuShiJian,投注时间,Betting time,Betting time,1
linShi,临时,Temporary,Temporary,1
yongJiu,永久,Permanent,Permanent,1
suoDing,锁定,Lock,Locked,0
xiuGaiShiJian,修改时间,Modification time,Modify Time,0
xinJianShiJian,新建时间,Creation time,New time,0
kouJian,扣减,Deduction,Deductions,0
jiangLi,奖励,Bonus,Reward,0
qingLing,清零,Clear,Clear,1
shouDong,手动,Manual,Manually,0
ziDong,自动,Auto,Automatic,0
erShenWeiTongGuo,二审未通过,Final review not passed,Second trial failed,0
yiShenWeiTongGuo,一审未通过,First review failed,First trial failed,0
daiLiXingMing,代理姓名,Agent name,Agent Name,1
yiShiXiao,已失效,Expired,Invalidated,0
tiXianTuiHuiShi,提现退回失败,Withdrawal return failed.,Withdrawal failed,0
tiXianShiBai,提现失败,Withdrawal failed,Withdrawal failed,1
jiaBi,加币,Top-up,Add Coins,0
shangJiZhuanRuDai,上级转入(代充),Transfer from superior (intermediary top-up),Transfer from higher level (Discretionary Deposit),0
hongLi,红利,Bonus,Bonus,1
tiXianChengGong,提现成功,Withdrawal successful,Withdrawal success,0
xiTongXiaoXiSuo,系统消息(锁定),System message (locked),System Message(Locked),0
xiTongXiaoXiZi,系统消息(资金),System message (funds),System message (funds),1
huiFuXinJian,回复信件,Reply letter,Reply Letter,1
huoDongXinJian,活动信件,Activity letter,Active Mail,0
puTongXinJian,普通信件,Ordinary letter,General letter,0
yiFaSong,已发送,Sent,Sent,1
daiFaSong,待发送,To be sent,To be sent,1
yiDu,已读,Read,Read,1
weiDu,未读,Unread,Unread,1
yiHuiFu,已回复,Replied,Replied,1
daiHuiFu,待回复,To be replied,Pending reply,0
weiChuLi,未处理,Not processed,Unprocessed,0
cengJiBianGeng,层级变更,Level change,Hierarchy change,0
xiuGaiPeiZhiXia,修改配置下级上分设置,Modify subordinate top-up settings,Modify the configuration of subordinate upscale settings,0
qingKongDangQianLiu,清空当前流水限制,Clear the current turnover limit,Clear the current flow limit,0
qingSuanShangFenE,清算上分额度,Settle top-up limit,Clear the credit limit,0
xiuGaiBeiZhu,修改备注,Modify remarks,Modify notes,0
xiuGaiDaiLiFan,修改代理返佣模式,Modify agent rebate mode,Modify agent rebate mode,1
zhongZhiYinHangKa,重置银行卡信息,Reset bank card information,Reset bank card information,1
bianGengShouJiHao,变更手机号或邮箱,Change phone No. or email,Change cell phone number or email address,0
xinZengUSD,新增USDT提现地址,Add USDT withdrawal address,Add USDT withdrawal address,1
zhuanJiaGuanZhuQu,专家关注/取关,Follow/unfollow expert,Expert Follow / Take Down,0
shanChuShouHuoDi,删除收货地址,Delete shipping address,Delete receiving address,0
bianJiShouHuoDi,编辑收货地址,Edit shipping address,Edit receiving address,0
xinJianShouHuoDi,新建收货地址,Create shipping address,Create new receiving address,0
fanShuiSheZhi,返水设置,Rebate settings,Rebate Settings,1
touZhuSheZhi,投注设置,Betting settings,Betting Settings,1
panKouSheZhi,盘口设置,Market settings,Handicap Settings,0
tiXianDuanXinYan,提现短信验证,Withdrawal SMS verification,Withdrawal SMS verification,1
bangDingYouXiang,绑定邮箱,Bind email,Binding email,0
chaoShiWeiLingQu,超时未领取,Expired,Timeout not claimed,0
yiFaHuoLieBiao,已发货列表,Shipment list,Shipped List,0
daiLingQuLieBiao,待领取列表,To-be-collected list,Pending Claims List,0
